City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,namibe,-15.1961,12.1522,294.85,66,0,3.17,AO,1689612961
225,kyaikkami,16.08,97.5675,300.08,85,100,6.95,MM,1689613132
226,homnabad,17.7667,77.1333,295.57,92,100,7.1,IN,1689613132
227,jumla,29.2747,82.1838,291.33,97,95,1.13,NP,1689613133
228,broken hill,-31.95,141.4333,283.59,58,4,3.23,AU,1689613133
229,tamanrasset,22.785,5.5228,308.1,10,40,1.54,DZ,1689613102
230,vernon,50.2581,-119.2691,298.67,36,5,3.13,CA,1689613134
231,dharchula,29.85,80.5333,297.29,95,88,0.42,IN,1689613135
232,oodweyne,9.4092,45.064,299.5,44,61,10.07,SO,1689613135
233,dudinka,69.4058,86.1778,284.61,96,88,4.47,RU,1689613069
234,sidney,-33.8679,151.2073,285.72,90,0,3.6,AU,1689613094
235,puerto baquerizo moreno,-0.9,-89.6,300.7,78,75,7.2,EC,1689613012
236,papao,-17.75,-149.55,293.97,67,25,4.26,PF,1689613136
237,uzyn,49.8262,30.4149,299.89,52,30,2.15,UA,1689613136
238,murray bridge,-35.1167,139.2667,281.12,80,0,2.23,AU,1689613137
239,burela de cabo,43.65,-7.4,293.8,75,16,6.09,ES,1689613137
240,mburucuya,-28.0454,-58.2245,288.16,39,39,5.12,AR,1689613138
241,ciudad lazaro cardenas,17.9583,-102.2,302.27,70,95,1.11,MX,1689613114
242,sorong,-0.8833,131.25,298.91,88,100,5.8,ID,1689613138
243,oppdal,62.5943,9.6912,284.64,93,100,3.11,NO,1689613139
244,rive-de-gier,45.5307,4.6213,303.17,42,17,3.18,FR,1689613139
245,dolyns'ka,48.1104,32.7645,299.23,48,45,3.79,UA,1689613140
246,torit,4.4133,32.5678,299.32,61,60,1.42,SS,1689613140
247,ulaangom,49.9811,92.0667,291.45,50,7,1.15,MN,1689613140
248,hammerfest,70.6634,23.6821,288.4,82,75,5.14,NO,1689613141
249,georgetown,5.4112,100.3354,302.11,83,20,1.03,MY,1689612953
250,fallon,39.4735,-118.7774,305.99,22,75,1.54,US,1689613037
251,ilhabela,-23.7781,-45.3581,295.2,71,92,2.53,BR,1689613141
252,margate,51.3813,1.3862,294.75,58,88,4.02,GB,1689613089
253,ixtapa,20.7,-105.2,304.39,69,21,1.34,MX,1689613142
254,butajira,8.1167,38.3667,288.98,85,32,1.89,ET,1689613143
255,akureyri,65.6835,-18.0878,287.11,51,75,7.2,IS,1689613143
256,calvi,42.5,8.8333,302.5,58,0,3.09,FR,1689613144
257,ma'rib,15.4591,45.3253,308.18,15,80,4.18,YE,1689613144
258,murzuq,25.9155,13.9184,311.53,9,0,6.03,LY,1689613144
259,tobruk,32.0836,23.9764,300.0,73,0,5.41,LY,1689613145
260,mahajanga,-15.7167,46.3167,299.16,78,40,3.6,MG,1689613145
261,dean funes,-30.4204,-64.3498,283.65,34,44,3.87,AR,1689613146
262,darya khan marri,26.6775,68.2859,309.02,49,7,7.87,PK,1689613146
263,nova xavantina,-14.6667,-52.35,309.76,20,14,1.71,BR,1689613147
264,port saint john's,-31.6229,29.5448,292.72,59,27,2.29,ZA,1689613147
265,masuguru,-11.3667,38.4167,298.41,34,35,0.96,TZ,1689613147
266,sitka,57.0531,-135.33,286.09,88,75,0.0,US,1689613148
267,longyearbyen,78.2186,15.6401,282.06,57,20,7.72,SJ,1689613148
268,kirensk,57.7853,108.1119,286.66,96,46,1.65,RU,1689613149
269,puerto santa,-8.9906,-78.6456,295.52,74,93,4.46,PE,1689613149
270,kievka,50.2619,71.5514,295.69,53,88,4.92,KZ,1689613149
271,burang,30.25,81.1667,286.19,76,100,2.01,CN,1689613150
272,rio grande,-32.035,-52.0986,285.21,57,4,6.36,BR,1689613150
273,hami,42.8,93.45,306.61,15,46,13.32,CN,1689613151
274,bejaia,36.7559,5.0843,310.75,27,0,0.0,DZ,1689613059
275,chinchilla,-26.75,150.6333,286.76,83,92,2.36,AU,1689613151
276,lulea,65.5842,22.1547,290.19,82,0,8.23,SE,1689612947
277,ketchikan,55.3422,-131.6461,289.41,82,75,3.09,US,1689613152
278,isiro,2.7739,27.616,298.17,68,68,1.28,CD,1689613153
279,taoudenni,22.6783,-3.9836,315.91,17,62,2.79,ML,1689613153
